City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Venice,US,84.22,haze,27.0998,-82.4543,A Beach Retreat On Casey Key
8,Saint George,US,75.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
11,Praia,CV,80.02,clear sky,14.9215,-23.5087,LT Aparthotel
16,Lorengau,PG,81.64,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
17,Bata,GQ,75.58,light rain,1.8639,9.7658,Hotel Elik Melen
20,Kavaratti,IN,80.29,overcast clouds,10.5669,72.642,Green leaf
29,Butaritari,KI,81.18,clear sky,3.0707,172.7902,Isles Sunset Lodge
30,Hambantota,LK,77.88,overcast clouds,6.1241,81.1185,Bungalow 63
32,Kapaa,US,82.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Anamur,TR,82.33,clear sky,36.0751,32.8369,Luna Piena Beach Hotel
40,Jamestown,US,76.01,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
43,Kahului,US,89.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
49,Tautira,PF,78.01,few clouds,-17.7333,-149.15,Pension Oaoa
50,Champerico,GT,79.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
51,Finschhafen,PG,83.89,broken clouds,-6.6024,147.8681,Oasis Gagidu Ltd
53,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
54,Kieta,PG,81.61,light rain,-6.2167,155.6333,Uruna Bay Retreat
55,Kigoma,TZ,76.73,broken clouds,-4.8769,29.6267,MJI Mwema Lodge
60,Ibra,OM,80.44,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
66,Mackay,AU,75.69,clear sky,-21.15,149.2,International Lodge Motel
68,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
69,Sao Gabriel Da Cachoeira,BR,77.52,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
70,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
77,Hobyo,SO,76.33,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
83,Komsomolskiy,UZ,77.72,broken clouds,40.4272,71.7189,Ikathouse
84,Padang,ID,76.68,overcast clouds,-0.9492,100.3543,Mercure Padang
88,Hami,CN,75.72,clear sky,42.8,93.45,Laoyutang Resort
93,Cabo San Lucas,MX,89.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
98,Ahuimanu,US,87.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
105,San Ramon,US,83.91,scattered clouds,37.7799,-121.978,San Ramon Marriott
110,Chapais,CA,76.78,clear sky,49.7834,-74.8492,Hôtel Opémiska
114,Hilo,US,86.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
118,Hamilton,US,78.06,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
125,Nushki,PK,83.05,clear sky,29.5542,66.0215,Shams hotel
128,Tulagi,SB,81.59,clear sky,-9.0996,160.1476,Vanita Motel & Restaurant
133,Sao Filipe,CV,79.47,scattered clouds,14.8961,-24.4956,Hotel Xaguate
135,Samarai,PG,80.15,few clouds,-10.6167,150.6667,Nuli Sapi
140,Port Blair,IN,80.47,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
142,Palmas,BR,87.67,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
143,Atuona,PF,77.02,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
144,Voh,NC,80.8,clear sky,-20.9667,164.7,Le gîte du Koniambo
146,Acarau,BR,78.01,clear sky,-2.8856,-40.12,castelo pizzaria
147,Sao Miguel Do Araguaia,BR,86.2,clear sky,-13.275,-50.1628,Hotel Executivo Palace
153,Hermon,US,81.0,few clouds,44.8101,-68.9134,Pumpkin Patch RV Resort
159,Carutapera,BR,78.76,scattered clouds,-1.195,-46.02,Lidera
162,Faanui,PF,78.55,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
168,Victoria,HK,84.18,few clouds,22.2855,114.1577,Mini Central
171,Bethel,US,80.47,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
172,Touros,BR,76.84,clear sky,-5.1989,-35.4608,INN NEW HORIZON
173,Hithadhoo,MV,81.25,broken clouds,-0.6,73.0833,Scoop Guest House
174,Jardim,BR,75.97,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
176,Manavalakurichi,IN,77.07,overcast clouds,8.1333,77.3,Jebinrio home
177,Tateyama,JP,75.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
189,Elk City,US,82.38,few clouds,35.412,-99.4043,Hampton Inn & Suites Elk City
191,Buala,SB,84.31,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
192,Jalu,LY,81.14,clear sky,29.0331,21.5482,صاحبة الفخامة
194,Valera,VE,75.65,overcast clouds,9.3178,-70.6036,Hotel Camino Real
199,Sinnar,SD,76.05,overcast clouds,13.5691,33.5672,بساتين سالمة
205,Kavieng,PG,82.29,light rain,-2.5744,150.7967,Nusa Island Retreat
206,Isangel,VU,82.51,scattered clouds,-19.55,169.2667,Tanna Lodge
209,San Cristobal,VE,84.38,broken clouds,7.7669,-72.225,Pirineos
210,Lethem,GY,82.24,broken clouds,3.3803,-59.7968,Savannah Inn
212,Lompoc,US,84.85,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
213,Sibolga,ID,75.6,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
219,Bacolod,PH,79.03,broken clouds,10.6667,122.95,Planta Hotel & Residences
222,Labuhan,ID,76.73,overcast clouds,-6.8844,112.2051,DoubleFAG
227,Kulhudhuffushi,MV,80.13,overcast clouds,6.6221,73.07,Haajy Guest House 1
230,Ponta Do Sol,PT,77.0,overcast clouds,32.6667,-17.1,Hotel do Campo
232,Ciudad Bolivar,VE,83.41,broken clouds,8.1222,-63.5497,Hotel Edi
236,Great Falls,US,75.16,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
240,Ascension,US,88.07,clear sky,30.2169,-90.9001,Highland Inn
246,Senador Jose Porfirio,BR,83.08,broken clouds,-2.5908,-51.9542,Pousada Novo Horizonte
248,Can Tho,VN,75.18,scattered clouds,10.0333,105.7833,Kim Lan Hotel Can Tho
254,Afua,BR,77.07,broken clouds,-0.1567,-50.3867,Hotel Dias
257,Tayu,ID,77.05,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
260,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
265,Banda Aceh,ID,79.14,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
272,Jaguey Grande,CU,80.26,broken clouds,22.5269,-81.1286,Barberia hendrix
275,Matara,LK,76.69,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
277,Vaitape,PF,78.57,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
279,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
281,Tuy Hoa,VN,76.95,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
282,Auki,SB,82.89,few clouds,-8.7676,160.7034,Auki Motel
285,La Asuncion,VE,87.53,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
286,Cayenne,GF,80.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
287,Pacific Grove,US,78.35,haze,36.6177,-121.9166,Lovers Point Inn
288,Ahmadpur East,PK,89.56,clear sky,29.1431,71.2598,Irfan fabrics
291,Olutanga,PH,81.45,overcast clouds,7.3106,122.8464,Morales Lodge
292,Laurel,US,79.88,clear sky,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
295,Fare,PF,78.44,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
302,Mana,GF,80.26,overcast clouds,5.6592,-53.7767,LE SAMANA
303,Meulaboh,ID,75.2,broken clouds,4.1363,96.1285,Kost Pria
307,Kadoma,JP,80.6,scattered clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
310,Wajima,JP,76.41,broken clouds,37.4,136.9,Wajiima Onsen Yashio
313,Klaeng,TH,82.94,moderate rain,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
316,Gra Liyia,GR,78.13,clear sky,35.0167,25.6833,Diktynna Traditional Villas
318,Sur,OM,85.23,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
319,Itaituba,BR,88.11,scattered clouds,-4.2761,-55.9836,Hotel Campos
325,Goderich,CA,80.92,broken clouds,43.7501,-81.7165,Harmony Inn
326,Capinopolis,BR,85.87,few clouds,-18.6819,-49.5697,Tropical Hotel Capinópolis
332,Kudahuvadhoo,MV,81.3,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
333,Palu,ID,75.42,moderate rain,-0.8917,119.8707,Hotel Santika Palu
335,Ayutthaya,TH,81.01,overcast clouds,14.2833,100.5,Bann Thai Kae Ook
339,Owensboro,US,82.38,clear sky,37.7742,-87.1133,Courtyard by Marriott Owensboro
343,Hirara,JP,82.67,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
345,Fortuna,US,81.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
349,Alta Floresta,BR,85.35,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
