City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Venice,US,27.0998,-82.4543,84.22,73,0,3.44,haze
1,Punta Arenas,CL,-53.15,-70.9167,46.51,61,0,13.8,clear sky
2,Dikson,RU,73.5069,80.5464,36.32,77,99,8.12,overcast clouds
3,Tahe,CN,52.3333,124.7333,49.39,76,98,4.41,overcast clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,81,100,10.36,overcast clouds
5,Gurlan,UZ,41.8447,60.3919,55.47,33,0,7.9,clear sky
6,Mataura,NZ,-46.1927,168.8643,51.91,56,4,3.47,clear sky
7,Cape Town,ZA,-33.9258,18.4232,60.39,87,19,3.0,few clouds
8,Saint George,US,37.1041,-113.5841,75.79,57,0,9.22,clear sky
9,Paita,PE,-5.0892,-81.1144,65.03,79,32,17.96,scattered clouds
10,Tasiilaq,GL,65.6145,-37.6368,41.16,79,8,1.83,clear sky
11,Praia,CV,14.9215,-23.5087,80.02,81,6,3.49,clear sky
12,Cherskiy,RU,68.75,161.3,52.0,68,97,1.95,light rain
13,Hobart,AU,-42.8794,147.3294,51.66,75,75,6.91,broken clouds
14,Nikolskoye,RU,59.7035,30.7861,42.69,82,7,3.33,clear sky
15,Ushuaia,AR,-54.8,-68.3,44.26,53,0,10.36,clear sky
16,Lorengau,PG,-2.0226,147.2712,81.64,80,50,9.28,scattered clouds
17,Bata,GQ,1.8639,9.7658,75.58,87,95,4.88,light rain
18,Vesyegonsk,RU,58.664,37.2604,43.16,78,33,3.56,scattered clouds
19,Rikitea,PF,-23.1203,-134.9692,72.79,72,4,12.28,clear sky
20,Kavaratti,IN,10.5669,72.642,80.29,81,100,20.92,overcast clouds
21,Mandalgovi,MN,45.7625,106.2708,53.15,66,84,7.07,broken clouds
22,Xingcheng,CN,40.6167,120.7167,68.68,82,6,2.86,clear sky
23,Northam,GB,51.0333,-4.2167,57.25,87,100,5.55,overcast clouds
24,Provideniya,RU,64.3833,-173.3,46.74,69,19,6.06,few clouds
25,Araouane,ML,18.9048,-3.5265,94.68,31,35,13.2,scattered clouds
26,Hermanus,ZA,-34.4187,19.2345,54.81,83,4,12.62,clear sky
27,Port-Cartier,CA,50.0334,-66.8654,59.11,92,13,2.33,few clouds
28,Imeni Poliny Osipenko,RU,52.4201,136.4853,57.49,92,95,9.15,light rain
29,Butaritari,KI,3.0707,172.7902,81.18,73,3,11.3,clear sky
30,Hambantota,LK,6.1241,81.1185,77.88,83,96,16.13,overcast clouds
31,Upernavik,GL,72.7868,-56.1549,43.03,95,100,5.93,light rain
32,Kapaa,US,22.0752,-159.319,82.72,73,40,8.05,scattered clouds
33,Port Macquarie,AU,-31.4333,152.9167,65.89,57,16,9.17,few clouds
34,Cookeville,US,36.1628,-85.5016,71.31,94,100,0.0,overcast clouds
35,Bluff,NZ,-46.6,168.3333,47.19,72,3,3.6,clear sky
36,Baykit,RU,61.67,96.37,44.19,99,100,4.29,light rain
37,Longyearbyen,SJ,78.2186,15.6401,33.64,64,75,11.5,broken clouds
38,Anamur,TR,36.0751,32.8369,82.33,43,0,8.66,clear sky
39,Mar Del Plata,AR,-38.0023,-57.5575,48.94,76,0,8.05,clear sky
40,Jamestown,US,42.097,-79.2353,76.01,52,0,9.22,clear sky
41,Bitung,ID,1.4451,125.1824,74.25,89,100,9.19,overcast clouds
42,Saint-Philippe,RE,-21.3585,55.7679,67.59,71,53,9.62,broken clouds
43,Kahului,US,20.8947,-156.47,89.62,64,40,24.16,scattered clouds
44,Kindia,GN,10.0569,-12.8658,68.97,94,99,1.28,overcast clouds
45,Busselton,AU,-33.65,115.3333,50.7,90,7,2.84,clear sky
46,Egvekinot,RU,66.3167,-179.1667,41.2,65,23,2.68,few clouds
47,New Norfolk,AU,-42.7826,147.0587,51.3,82,99,3.0,overcast clouds
48,Yellowknife,CA,62.456,-114.3525,61.32,48,40,21.85,scattered clouds
49,Tautira,PF,-17.7333,-149.15,78.01,67,13,18.41,few clouds
50,Champerico,GT,14.3,-91.9167,79.34,80,93,6.44,overcast clouds
51,Finschhafen,PG,-6.6024,147.8681,83.89,67,57,9.35,broken clouds
52,Bredasdorp,ZA,-34.5322,20.0403,54.37,77,0,11.99,clear sky
53,Vaini,TO,-21.2,-175.2,80.76,78,75,6.91,broken clouds
54,Kieta,PG,-6.2167,155.6333,81.61,74,23,4.7,light rain
55,Kigoma,TZ,-4.8769,29.6267,76.73,59,59,4.23,broken clouds
56,Rocha,UY,-34.4833,-54.3333,42.04,81,0,6.35,clear sky
57,San Patricio,US,28.017,-97.5169,91.49,49,22,12.57,few clouds
58,Omboue,GA,-1.5746,9.2618,74.53,89,97,9.01,light rain
59,Nueva Helvecia,UY,-34.3,-57.2333,48.31,49,0,4.65,clear sky
60,Ibra,OM,22.6906,58.5334,80.44,53,95,2.93,overcast clouds
61,Adrar,MR,20.5022,-10.0711,97.52,22,54,14.92,broken clouds
62,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,78,75,17.27,broken clouds
63,Flin Flon,CA,54.7682,-101.865,66.04,39,40,12.66,scattered clouds
64,Kruisfontein,ZA,-34.0033,24.7314,55.92,72,57,15.86,broken clouds
65,Airai,TL,-8.9266,125.4092,64.4,54,64,2.1,broken clouds
66,Mackay,AU,-21.15,149.2,75.69,46,0,6.98,clear sky
67,Aklavik,CA,68.2191,-135.0107,44.29,96,100,5.77,light rain
68,Georgetown,MY,5.4112,100.3354,80.53,86,20,3.44,few clouds
69,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,77.52,81,98,0.69,overcast clouds
70,Avarua,CK,-21.2078,-159.775,80.65,78,20,18.41,few clouds
71,Sipe Sipe,BO,-17.45,-66.3833,66.76,55,8,8.93,clear sky
72,Bengkulu,ID,-3.8004,102.2655,73.62,84,66,3.6,broken clouds
73,Thompson,CA,55.7435,-97.8558,60.96,48,75,16.11,broken clouds
74,Qaanaaq,GL,77.484,-69.3632,36.88,98,100,8.37,light rain
75,Chuy,UY,-33.6971,-53.4616,45.39,77,0,8.39,clear sky
76,Lota,CL,-37.0833,-73.1667,54.86,78,7,7.72,clear sky
77,Hobyo,SO,5.3505,48.5268,76.33,87,38,24.63,scattered clouds
78,Port Elizabeth,ZA,-33.918,25.5701,59.31,94,20,16.11,few clouds
79,Kaitangata,NZ,-46.2817,169.8464,51.94,64,4,5.23,clear sky
80,Lebu,CL,-37.6167,-73.65,49.19,87,0,14.38,clear sky
81,Yima,CN,34.7381,111.8839,63.28,77,4,2.01,clear sky
82,Chara,RU,56.9064,118.2631,43.16,70,26,0.92,scattered clouds
83,Komsomolskiy,UZ,40.4272,71.7189,77.72,31,68,6.91,broken clouds
84,Padang,ID,-0.9492,100.3543,76.68,87,100,3.24,overcast clouds
85,Pudozh,RU,61.8099,36.5345,45.07,91,93,3.38,overcast clouds
86,Vanavara,RU,60.34,102.2797,38.3,96,99,5.14,overcast clouds
87,Souillac,MU,-20.5167,57.5167,70.18,73,75,6.91,broken clouds
88,Hami,CN,42.8,93.45,75.72,22,0,7.31,clear sky
89,Esperance,AU,-33.8667,121.9,51.75,88,95,7.83,overcast clouds
90,Albany,US,42.6001,-73.9662,77.41,77,79,2.57,broken clouds
91,Benguela,AO,-12.5763,13.4055,70.3,81,7,2.59,clear sky
92,Rudsar,IR,37.1376,50.288,72.23,78,93,2.01,light rain
93,Cabo San Lucas,MX,22.8909,-109.9124,89.62,75,41,8.86,scattered clouds
94,Ozinki,RU,51.1786,49.6769,48.13,75,64,9.57,broken clouds
95,College,US,64.8569,-147.8028,53.08,79,75,13.8,broken clouds
96,Iqaluit,CA,63.7506,-68.5145,40.73,93,75,9.22,light intensity shower rain
97,Gamba,GA,-2.65,10.0,74.07,88,100,8.72,light rain
98,Ahuimanu,US,21.4447,-157.8378,87.51,56,75,11.5,broken clouds
99,Tazovskiy,RU,67.4667,78.7,38.03,87,100,6.98,overcast clouds
100,Matagami,CA,49.7502,-77.6328,68.11,77,20,9.22,few clouds
101,Puerto Ayora,EC,-0.7393,-90.3518,73.36,88,84,5.01,broken clouds
102,Yamada,JP,39.4667,141.95,69.03,76,74,4.45,broken clouds
103,Bjornevatn,NO,69.6672,29.9847,47.82,81,75,4.61,broken clouds
104,Ilulissat,GL,69.2167,-51.1,51.82,58,100,14.97,overcast clouds
105,San Ramon,US,37.7799,-121.978,83.91,64,40,13.8,scattered clouds
106,Le Port,RE,-20.9373,55.2919,71.26,48,41,8.16,scattered clouds
107,Havre,FR,49.5833,0.3333,60.57,88,20,0.0,few clouds
108,Pevek,RU,69.7008,170.3133,40.98,82,84,3.91,broken clouds
109,Grand Gaube,MU,-20.0064,57.6608,70.2,72,0,1.99,clear sky
110,Chapais,CA,49.7834,-74.8492,76.78,59,2,4.05,clear sky
111,Rio Grande,BR,-32.035,-52.0986,53.71,70,0,10.22,clear sky
112,Fort Nelson,CA,58.8053,-122.7002,69.39,24,40,10.36,scattered clouds
113,Luderitz,NA,-26.6481,15.1594,59.41,69,27,14.7,scattered clouds
114,Hilo,US,19.7297,-155.09,86.25,69,40,7.0,scattered clouds
115,Iwanai,JP,42.9744,140.5089,67.48,69,11,5.5,few clouds
116,Barcelos,PT,41.5388,-8.6151,68.85,86,0,2.42,clear sky
117,Matamoros,MX,25.5333,-103.25,90.1,31,15,11.39,few clouds
118,Hamilton,US,39.1834,-84.5333,78.06,75,0,11.5,clear sky
