City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2022-09-07  23-43-18,-33.65,115.3333,50.94,78,89,6.69
1,Lata,PT,2022-09-07  23-43-19,40.1629,-8.3327,68.07,86,97,1.97
2,Albany,US,2022-09-07  23-39-04,42.6001,-73.9662,66.88,88,97,1.66
3,Kutum,SD,2022-09-07  23-38-50,14.2,24.6667,71.62,69,99,8.3
4,Clyde River,CA,2022-09-07  23-43-20,70.4692,-68.5914,35.83,100,100,17.27
5,Kapaa,US,2022-09-07  23-38-23,22.0752,-159.319,84.09,73,75,11.99
6,Rikitea,PF,2022-09-07  23-43-20,-23.1203,-134.9692,72.68,72,4,23.82
7,Acajutla,SV,2022-09-07  23-43-21,13.5928,-89.8275,81.28,82,56,4.74
8,Caravelas,BR,2022-09-07  23-43-21,-17.7125,-39.2481,68.5,72,100,6.46
9,Provideniya,RU,2022-09-07  23-43-22,64.3833,-173.3,50.36,76,75,13.42
10,Guerrero Negro,MX,2022-09-07  23-43-22,27.9769,-114.0611,78.13,77,92,24.07
11,Dunedin,NZ,2022-09-07  23-41-23,-45.8742,170.5036,50.81,65,89,3.15
12,Graham,US,2022-09-07  23-43-22,47.0529,-122.2943,79.34,42,0,10.36
13,Dikson,RU,2022-09-07  23-43-23,73.5069,80.5464,37.63,87,100,20.47
14,Oktyabrskiy,RU,2022-09-07  23-43-23,54.4815,53.471,46.8,66,100,6.51
15,Cherskiy,RU,2022-09-07  23-43-23,68.75,161.3,58.05,36,67,19.42
16,Castro,BR,2022-09-07  23-43-24,-24.7911,-50.0119,57.6,91,9,2.95
17,Tres Barras,BR,2022-09-07  23-43-24,-26.1064,-50.3222,56.7,99,19,2.04
18,Rawson,AR,2022-09-07  23-43-24,-43.3002,-65.1023,44.4,61,98,14.23
19,Cape Town,ZA,2022-09-07  23-42-18,-33.9258,18.4232,56.26,90,0,13.8
20,Victoria,HK,2022-09-07  23-41-55,22.2855,114.1577,86.25,78,97,5.01
21,Jamestown,US,2022-09-07  23-38-56,42.097,-79.2353,66.06,69,100,8.05
22,Mahebourg,MU,2022-09-07  23-43-25,-20.4081,57.7,70.09,73,75,6.91
23,New Norfolk,AU,2022-09-07  23-43-26,-42.7826,147.0587,54.72,76,89,1.01
24,Necochea,AR,2022-09-07  23-43-26,-38.5473,-58.7368,59.79,61,92,8.59
25,Lagos,NG,2022-09-07  23-43-26,6.5833,3.75,79.12,91,93,5.79
26,Nikolskoye,RU,2022-09-07  23-43-27,59.7035,30.7861,45.79,95,55,4.54
27,Butaritari,KI,2022-09-07  23-43-27,3.0707,172.7902,81.32,76,88,16.11
28,Qaanaaq,GL,2022-09-07  23-43-28,77.484,-69.3632,31.01,84,82,2.17
29,Phan Thiet,VN,2022-09-07  23-43-28,10.9333,108.1,76.96,89,100,6.46
30,Saskylakh,RU,2022-09-07  23-40-31,71.9167,114.0833,36.99,79,98,9.42
31,Fairbanks,US,2022-09-07  23-43-04,64.8378,-147.7164,59.23,74,75,1.99
32,Bluff,NZ,2022-09-07  23-43-29,-46.6,168.3333,50.81,59,80,2.08
33,Atuona,PF,2022-09-07  23-40-03,-9.8,-139.0333,76.51,81,30,27.72
34,Nha Trang,VN,2022-09-07  23-40-54,12.25,109.1833,75.2,88,100,3.4
35,Souillac,MU,2022-09-07  23-43-30,-20.5167,57.5167,70.18,73,75,6.91
36,Mount Isa,AU,2022-09-07  23-43-30,-20.7333,139.5,76.77,47,40,0.0
37,Saldanha,ZA,2022-09-07  23-42-21,-33.0117,17.9442,54.57,90,0,14.34
38,Chuy,UY,2022-09-07  23-40-15,-33.6971,-53.4616,57.97,93,22,6.02
39,Hobart,AU,2022-09-07  23-42-22,-42.8794,147.3294,55.06,83,75,6.91
40,Punta Arenas,CL,2022-09-07  23-41-02,-53.15,-70.9167,39.22,75,100,13.8
41,Abha,SA,2022-09-07  23-43-31,18.2164,42.5053,71.42,37,0,0.0
42,Cap Malheureux,MU,2022-09-07  23-43-31,-19.9842,57.6142,68.47,70,44,3.0
43,Ilulissat,GL,2022-09-07  23-43-32,69.2167,-51.1,39.22,87,75,1.14
44,Concordia,AR,2022-09-07  23-41-01,-31.393,-58.0209,59.13,80,0,7.2
45,Scarborough,GB,2022-09-07  23-41-36,54.2797,-0.4044,58.33,91,91,5.19
46,San Pedro,PH,2022-09-07  23-41-59,14.35,121.0167,85.32,77,20,3.44
47,Gayeri,BF,2022-09-07  23-43-36,12.6497,0.4931,69.55,95,69,17.63
48,Belaya Gora,RU,2022-09-07  23-43-36,68.5333,146.4167,55.51,44,100,14.12
49,Ambam,CM,2022-09-07  23-43-36,2.3833,11.2833,69.51,95,82,3.53
50,Ushuaia,AR,2022-09-07  23-43-37,-54.8,-68.3,37.06,70,40,4.61
51,Port Elizabeth,ZA,2022-09-07  23-43-37,-33.918,25.5701,55.69,98,0,2.3
52,Palmer,US,2022-09-07  23-40-52,42.1584,-72.3287,68.25,78,75,6.91
53,Bethel,US,2022-09-07  23-43-37,41.3712,-73.414,70.11,79,75,6.91
54,Tuatapere,NZ,2022-09-07  23-43-38,-46.1333,167.6833,49.32,66,39,2.55
55,Umm Lajj,SA,2022-09-07  23-42-09,25.0213,37.2685,84.09,56,0,12.5
56,Korla,CN,2022-09-07  23-43-38,41.7597,86.1469,75.67,20,0,5.19
57,Manono,CD,2022-09-07  23-43-38,-7.3,27.4167,74.86,26,5,4.36
58,Rio Grande,BR,2022-09-07  23-43-39,-32.035,-52.0986,60.94,85,86,6.17
59,Ayan,RU,2022-09-07  23-43-39,56.45,138.1667,50.95,72,91,25.03
60,Port Blair,IN,2022-09-07  23-43-39,11.6667,92.75,75.24,100,100,1.14
61,Gondar,ET,2022-09-07  23-43-40,12.6,37.4667,56.98,83,72,1.52
62,Kathmandu,NP,2022-09-07  23-39-56,27.7167,85.3167,70.02,94,75,0.0
63,Fortuna,US,2022-09-07  23-40-09,40.5982,-124.1573,73.09,94,92,7.45
64,Pinheiro Machado,BR,2022-09-07  23-43-40,-31.5783,-53.3811,59.05,89,86,3.02
65,Hamilton,US,2022-09-07  23-43-25,39.1834,-84.5333,78.24,65,40,10.36
66,Kamaishi,JP,2022-09-07  23-43-40,39.2667,141.8833,71.04,81,99,10.02
67,Kavieng,PG,2022-09-07  23-43-41,-2.5744,150.7967,85.08,69,69,12.86
68,Forio,IT,2022-09-07  23-43-41,40.7342,13.8646,78.42,88,75,9.75
69,Vaini,TO,2022-09-07  23-43-41,-21.2,-175.2,82.56,83,40,9.22
70,Hermanus,ZA,2022-09-07  23-43-42,-34.4187,19.2345,53.8,88,23,8.05
71,Barrow,US,2022-09-07  23-43-42,71.2906,-156.7887,50.02,71,20,6.91
72,Tuktoyaktuk,CA,2022-09-07  23-43-42,69.4541,-133.0374,42.8,93,100,12.66
73,Bredasdorp,ZA,2022-09-07  23-43-43,-34.5322,20.0403,47.95,94,24,1.57
74,Sur,OM,2022-09-07  23-43-43,22.5667,59.5289,79.0,70,0,8.68
75,Bowen,AU,2022-09-07  23-43-43,-20.0167,148.2333,72.75,66,9,12.19
76,Sawai Madhopur,IN,2022-09-07  23-43-44,25.9833,76.3667,81.66,65,91,1.25
77,Xichang,CN,2022-09-07  23-43-44,27.8964,102.2634,62.89,92,100,1.63
78,Yuanping,CN,2022-09-07  23-43-44,38.7153,112.7575,62.65,53,66,1.79
